Epoch,Train_Loss,Val_Loss
0,0.710264027,0.69744885
10,0.420796603,0.402725756
20,0.390338808,0.373980671
30,0.362702489,0.413576573
40,0.358637065,0.3760809
50,0.353928566,0.383212715
60,0.350541592,0.382892847
70,0.348353982,0.378505141
80,0.347168177,0.381219923
90,0.346292794,0.379485816
100,0.345634758,0.383728236
110,0.345005572,0.384631276
120,0.344390422,0.388435751
130,0.343889982,0.389311939
140,0.343529403,0.390656382
150,0.342976987,0.393713355
160,0.342526644,0.397802204
170,0.343607128,0.391136944
180,0.342078418,0.401505917
190,0.341643155,0.396938473
