Epoch,Train_Loss,Val_Loss
0,0.697564363,0.688504457
10,0.401723653,0.437686473
20,0.367560834,0.393286884
30,0.34822461,0.37387374
40,0.346127898,0.364661187
50,0.344017982,0.360067099
60,0.341104716,0.351549953
70,0.339832038,0.348574758
80,0.338466227,0.345974326
90,0.337436557,0.345661968
100,0.336658865,0.344836324
110,0.335963607,0.346277475
120,0.335245967,0.346366584
130,0.33475253,0.3468647
140,0.334092945,0.346567363
150,0.333673984,0.34694472
160,0.333307385,0.349028438
170,0.333201766,0.347504109
180,0.333382457,0.349114269
190,0.332626343,0.345613241
